,fom,coverage_key,name,language,arch
27,,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform F
28,,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform F
29,,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform F
30,976000000000.0,0330cde45234b9e0be513859b26cbe0e38a90198ff1c84cd8696b60d6b78b848,BabelStream,Language 0,Platform G
31,,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform G
32,,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform G
33,,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform G
34,,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform G
35,144000000000.0,0330cde45234b9e0be513859b26cbe0e38a90198ff1c84cd8696b60d6b78b848,BabelStream,Language 0,Platform H
36,152000000000.0,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform H
37,150000000000.0,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform H
38,,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform H
39,151000000000.0,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform H
40,553000000000.0,0330cde45234b9e0be513859b26cbe0e38a90198ff1c84cd8696b60d6b78b848,BabelStream,Language 0,Platform I
41,557000000000.0,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform I
42,552000000000.0,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform I
43,552000000000.0,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform I
44,551000000000.0,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform I
45,774000000000.0,0330cde45234b9e0be513859b26cbe0e38a90198ff1c84cd8696b60d6b78b848,BabelStream,Language 0,Platform J
46,828000000000.0,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform J
47,833000000000.0,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform J
48,829000000000.0,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform J
49,839000000000.0,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform J
50,528000000000.0,0330cde45234b9e0be513859b26cbe0e38a90198ff1c84cd8696b60d6b78b848,BabelStream,Language 0,Platform K
51,554000000000.0,a03ce72651e8bde83df5f4a062f983a8ee229f266bcdc1851b316197fbe29f05,BabelStream,Language 1,Platform K
52,556000000000.0,d50ff5a0e4d84e0f785eab8cca432be8e748fa9afcdec3ad248f2fa8f4bf2e24,BabelStream,Language 2,Platform K
53,555000000000.0,a34213cb9b955c4ff00847783b58d16b07089219a0d1a5bc91b4053ef957dcbb,BabelStream,Language 3,Platform K
54,554000000000.0,d4908ba6a79a7d5e0f5aa728b538ec38ceda5f008f21964a88535f9a3276bed4,BabelStream,Language 4,Platform K
